Condition,CellLine,Akt,Erk,GSK,cJun,JNK,P38,Viab
Null Null,1,171609.1644,183.2884097,510.1078167,85.57951482,41,96,1.075226
Null Null,1,167542.2343,114.4414169,466.6212534,75.61307902,58,100,1.123658
Null Null,1,163325.3077,197.9668272,527.6886035,39.45960407,60.5,118.5,0.9313372
Null TGF,1,297758.3238,186.5671642,457.0895522,705.3673938,70,145,0.8433634
Null TGF,1,266010.7015,231.8668252,517.9845422,724.5838288,51,111,0.7702073
Null TGF,1,260829.5583,266.1381653,683.0407701,760.9003398,80,114,0.6687867
Null HRG,1,368714.7689,281.848929,1125.281849,963.2187148,58.5,96,0.7709368
Null HRG,1,333452.3113,222.3522528,992.5394968,900.3803394,79,103,0.7961289
Null HRG,1,302003.4742,220.0347423,964.8233932,954.6902142,60,116,0.6779606
Null IGF,1,95826.91168,245.9988145,412.7148785,245.2578542,63.5,107,1.014984
Null IGF,1,99086.56549,213.6031478,183.3895447,241.0061832,57,114.5,1.04885
Null IGF,1,86910.43985,206.6772655,249.7350291,327.9014308,65,121,1.068825
Null PDGF,1,62585.56024,178.1528364,260.7829348,182.2550398,56,122,0.9581461
Null PDGF,1,68727.04082,158.1632653,146.0459184,200.8928571,79,107,1.114696
Null PDGF,1,70572.39057,129.0684624,82.07070707,425.7856341,69,111,1.015979
Null EGF,1,263879.1469,85.30805687,619.0758294,757.7014218,43,112,0.8289987
Null EGF,1,328803.4865,203.3808769,668.9117802,1161.516112,58,140,0.7914805
Null EGF,1,269466.4466,126.5126513,575.4950495,917.9042904,62,69.5,0.8437741
Null HGF,1,139732.2435,78.91770011,550.3100338,551.7192785,60.5,142.5,1.06547
Null HGF,1,146368.6026,362.2771708,394.6233468,413.3122484,64.5,113.5,1.005367
Null HGF,1,112335.6204,234.4196684,217.9817038,462.4070898,85,163,0.8729618
Null HBEGF,1,343545.0936,289.279637,712.5638117,841.6052184,31.5,113,0.8583514
Null HBEGF,1,296762.6132,329.8835705,909.6054334,1499.838292,43,146.5,0.7979771
Null HBEGF,1,219004.1617,136.7419738,693.3709869,1033.739596,38,83,0.755012
Lapatinib Null,1,2728.89115,180.5696846,43.87080366,9.537131231,56,106,0.38985325
Lapatinib Null,1,2433.211105,130.9586171,110.6600314,-47.79989523,49,141.5,0.3971347
Lapatinib Null,1,3243.025751,233.3690987,-4.694206009,15.42381974,54,129,0.3825718
Lapatinib TGF,1,3229.79798,161.6161616,89.01515152,80.17676768,48,150,0.4952825
Lapatinib TGF,1,3144.989339,194.5628998,136.5938166,92.61727079,68,135,0.484832
Lapatinib TGF,1,3636.363636,179.144385,300.1336898,170.4545455,41,95.5,0.505733
Lapatinib HRG,1,213848.1229,153.5836177,367.6052332,127.2753129,66,111,1.115154
Lapatinib HRG,1,203136.0778,308.7478559,495.2830189,39.3081761,60,113,1.095926
Lapatinib HRG,1,232067.4098,169.85138,613.7208068,116.1093418,62,130,1.134382
Lapatinib IGF,1,5367.688022,100.2785515,98.18941504,135.7938719,61,119.5,0.43111125
Lapatinib IGF,1,3402.266289,288.9518414,3.541076487,-57.36543909,47,137,0.4190366
Lapatinib IGF,1,3353.466387,194.3277311,145.0892857,4.595588235,67,130,0.4431859
Lapatinib PDGF,1,1995.540691,250.8361204,20.20624303,66.19286511,80,122,0.4227527
Lapatinib PDGF,1,1854.545455,187.012987,50,126.6233766,74.5,143,0.4488012
Lapatinib PDGF,1,1785.170137,319.9593702,8.252920264,90.78212291,63,148,0.3967042
Lapatinib EGF,1,9401.072706,101.3110846,-183.9988081,356.8235995,67.5,117,0.5431292
Lapatinib EGF,1,4491.856678,312.7035831,144.1368078,129.4788274,116.5,118.5,0.5159143
Lapatinib EGF,1,3742.465753,378.0821918,63.69863014,133.5616438,52.5,121,0.5703441
Lapatinib HGF,1,34894.63602,274.5849298,74.23371648,216.3154534,73,125,0.46769095
Lapatinib HGF,1,30870.60703,348.7752929,88.52502662,159.0788072,84.5,130,0.4454166
Lapatinib HGF,1,30346.83685,221.9755827,53.41287458,-39.53940067,51,133.5,0.4899653
Lapatinib HBEGF,1,7917.431193,195.7186544,-17.58409786,130.733945,39,96.5,0.48316835
Lapatinib HBEGF,1,7051.196809,385.6382979,170.3789894,178.6901596,94,119.5,0.4765671
Lapatinib HBEGF,1,6389.252949,229.3577982,27.03145478,97.47706422,86,99,0.4897696
