Condition,CellLine,Akt,Erk,GSK,cJun,JNK,P38,Viab
Null Null,3,106085.8879,57.259713,24.539877,588.957048,98.159508,104.2944772,6215.5
Null Null,3,111096.0769,76.6801995,175.9133989,608.9309961,148.849799,202.9769987,7001.5
Null Null,3,92596.03073,101.5452579,152.3178868,635.7616147,145.69537,304.6357737,5659
Null EGF,3,112935.8951,72.64957079,160.2564061,897.4358744,141.0256374,160.2564061,7613
Null EGF,3,132876.8863,96.31490908,182.1608063,860.5527746,150.7537707,213.5678419,5826
Null EGF,3,128514.6717,130.3993496,36.67481707,965.770183,61.12469512,171.1491463,5099
Null HGF,3,105555.5561,71.54882155,239.8989899,946.969697,126.2626263,195.7070707,6509
Null HGF,3,142998.6653,8.924587477,194.1097776,870.147279,214.1900994,140.5622528,5628
Null HGF,3,120247.7153,73.88091941,156.4537117,730.1173212,117.3402838,241.1994722,7867
Null IGF,3,140583.3304,111.1111083,301.2820436,717.9486995,166.6666624,211.5384561,6688
Null IGF,3,150531.3387,104.4505024,292.9155393,674.3869394,163.4877429,217.9836572,7124.5
Null IGF,3,127546.9106,89.36550012,341.823038,911.5281013,301.6085629,321.7158004,7244
Null PDGF,3,112310.4713,128.3594079,210.5896536,583.6341827,168.4717228,264.7412788,8701.5
Null PDGF,3,102490.472,84.70986978,95.2986035,584.4981015,114.3583242,228.7166484,8025
Null PDGF,3,127395.4071,62.97795517,141.7003991,688.2590814,114.7098469,263.1578841,6749
Null HRG,3,115939.5544,107.3149379,545.3350926,683.3114413,157.6872557,197.1090696,6682.5
Null HRG,3,133112.3965,67.24303748,223.3429459,763.6887828,129.6830009,187.3198901,7101
Null HRG,3,159188.4428,187.9871593,392.0220029,797.7991637,261.3480019,398.8995819,6381
Null FGF,3,92619.64391,159.5298009,295.9697621,692.6951879,182.6196405,214.1057854,7104.5
Null FGF,3,137977.3007,68.98086245,246.9959914,500.6675501,120.160212,280.373828,8835.5
Null FGF,3,124256.7552,144.1441422,209.4594566,716.2162065,189.1891866,297.2972933,7549
Null Null,3,91771.80966,109.6196839,241.6107318,590.604011,147.6510027,234.8993226,6324
Null Null,3,102876.1689,75.45495197,246.3382256,672.4367779,119.8402178,233.0226458,9341
Null Null,3,107152.1486,125.7043812,227.5682764,624.1872724,182.0546211,299.0897347,8281.5
Erlot Null,3,93746.69984,101.143357,85.75197663,369.3931301,145.1187297,303.4300711,1623.5
Erlot Null,3,123687.7547,103.1852863,141.318979,417.2274619,174.966355,296.0969084,1903
Erlot Null,3,100717.9466,8.547008328,32.05128123,384.6153748,89.74358744,147.4358937,1363.5
Erlot EGF,3,106355.2666,74.56140547,151.3157935,296.0526394,144.7368459,309.2105345,1823.5
Erlot EGF,3,127663.0406,63.40579538,156.2499958,271.7391231,122.2826054,271.7391231,1605
Erlot EGF,3,118421.7378,86.24407407,97.02458333,245.7956111,129.3661111,252.2639166,1335.5
Erlot HGF,3,107895.9791,126.0835274,277.7777712,484.6335583,118.2033069,330.9692593,3836.5
Erlot HGF,3,149105.268,61.40351039,335.5263246,460.5263279,177.6315836,421.0526427,4714
Erlot HGF,3,150171.3638,44.87964261,67.31946392,324.3574171,85.67931771,195.8384405,4092.5
Erlot IGF,3,114198.9299,109.0342665,273.6982607,440.5874441,133.5113467,287.0493954,2243
Erlot IGF,3,155895.7228,249.5543672,46.79144385,414.4385027,267.3796791,240.6417112,2452.5
Erlot IGF,3,143609.0185,33.41687468,156.6416001,375.9398402,125.3132801,238.0952321,2299
Erlot PDGF,3,83887.37749,76.88828271,210.3120674,352.7815325,162.8222457,352.7815325,2052
Erlot PDGF,3,74935.89589,98.29059577,153.8461499,269.2307623,153.8461499,294.8717873,1368.5
Erlot PDGF,3,116711.2306,49.01960784,100.2673797,300.802139,133.6898396,280.7486631,1920.5
Erlot HRG,3,128851.6119,86.02150427,70.96774102,309.6774154,129.0322564,322.580641,2261
Erlot HRG,3,113117.5011,37.96962248,77.93764614,179.8561065,83.93284969,239.808142,1628.5
Erlot HRG,3,141118.2551,98.54327588,122.1079723,257.0694153,173.5218554,398.4575938,2230.5
Erlot FGF,3,35640.32783,172.5703953,61.30790358,490.4632286,626.7030144,490.4632286,4681.5
Erlot FGF,3,122275.0287,147.8664939,259.8225536,481.6222945,202.7883345,443.5994818,4219
Erlot FGF,3,102308.6883,177.2589687,207.5226951,479.8962324,272.3735373,557.7172431,4068.5
Erlot Null,3,96801.51966,58.99705164,69.53223943,303.4134084,126.4222535,202.2756056,2026
Erlot Null,3,131256.5499,87.26003833,111.2565489,340.3141495,157.068069,261.780115,1755.5
Erlot Null,3,126125.1711,142.0328508,206.3914863,372.8362333,226.3648559,399.4673928,1648.5
