,0,0.1,0.25,1,2,5
0,1563,1938,4491,5887,5263,7484
0.1,2444,3592,6195,5498,6002,8383
0.25,3234,5864,7269,4959,6118,8481
0.5,3789,4802,5141,5940,5753,7893
1.5,2688,2965,4801,4952,5158,6511
3.5,2825,3462,3565,3270,4525,5829
8,1748,3117,4149,3017,4385,4858
20,1591,1904,2741,2422,3730,3687
0,2640,2520,3440,4371,4341,7754
0.1,3100,3821,5082,4181,4891,7895
0.25,3440,4351,4531,4811,6553,7905
0.5,4791,3370,4521,4191,5482,9066
1.5,2090,2530,2080,2910,4261,5392
3.5,1350,2370,2360,2570,3611,4711
8,1460,1800,1930,2910,5062,5212
20,1520,1970,2840,2700,4031,4211
