,0,0.1,0.25,1,2,5
0,519,539,913,373,648,617
0.1,609,766,1090,495,514,626
0.25,662,785,763,527,869,596
0.5,672,753,868,380,733,491
1.5,641,748,711,392,533,471
3.5,572,504,431,346,374,434
8,354,529,713,446,415,353
20,393,413,282,210,235,297
0,320,468,368,235,274,332
0.1,512,598,533,271,357,369
0.25,547,580,557,258,350,302
0.5,636,536,471,260,322,348
1.5,254,315,243,147,211,327
3.5,269,310,203,199,209,244
8,322,309,209,245,188,286
20,394,375,419,240,249,349
