1.5421,0.66692,1.3566,0,-3.4875,-5.1461
6.5718,1.7631,1.2387,0,10,-1.6886
1.5618,0.65157,1.3718,0,-3.6311,-3.4777
1.5386,0.6571,1.3504,0,-3.5072,-6.7265
1.5607,0.66135,1.3762,0,-3.6709,-3.3526
1.5386,0.65701,1.3505,0,-3.5068,-6.714
1.5398,0.66458,1.3587,0,-3.5501,-5.6882
1.5678,0.67652,1.3775,0,-4.0285,-3.1368
5.1876,0.93043,0.28424,0,-0.18476,8.5718
1.5511,0.6526,1.3546,0,-3.5377,-4.307
1.5394,0.6616,1.3559,0,-3.4671,-5.895
5.1465,0.70988,0.095085,0,-0.14758,9.9324
1.5616,0.66463,1.3765,0,-3.7026,-3.295
1.5386,0.65709,1.3505,0,-3.5078,-6.7214
1.5386,0.65702,1.3504,0,-3.5069,-6.7214
1.5386,0.65705,1.3505,0,-3.5067,-6.708
1.5386,0.65705,1.3505,0,-3.5087,-6.7066
1.5386,0.65704,1.3505,0,-3.5096,-6.706
1.5399,0.67062,1.3589,0,-3.5042,-5.9208
5.1412,0.36153,0.38751,0,-0.065348,7.1119
