,0,0.1,0.25,1,2,5
0,23837,29172,34990,32591,15864,9420
0.1,29315,32746,40672,34227,14460,9124
0.25,29490,34417,39546,36042,16594,8412
0.5,26082,30597,32632,33745,16922,9089
1.5,22534,24492,15946,25430,13820,7929
3.5,12119,16637,18091,16733,16532,9659
8,8243,21692,19508,12827,10444,7295
20,9368,16467,19025,11695,6762,7183
0,27049,32103,39012,29068,19861,11220
0.1,24950,38952,39677,29158,17936,12883
0.25,25663,36075,38056,22651,21858,13284
0.5,26486,36648,50536,28827,17083,15549
1.5,9517,11921,14998,15740,13023,11260
3.5,7064,9256,12332,13915,13184,10549
8,7804,17875,25331,16923,16451,9477
20,9757,14517,25823,14567,13143,7224
